experiment	train	valid	epoch	learn_rate	precision	recall	f1	cost_min	cost_max	cost_avg	y_min_avg	y_max_avg	y_mean_avg	epoch_time	model	x_dim	hidden_dim	y_dim	w_spread	p_drop	init_rate	decay_after	decay_rate	activation	updates	l1_reg	l2_reg
ex02nx	dev-70	dev-30	elite	0	0.01	1.0	0.0	0.0	2.99215841293	2.99215841293	2.9921584129333496	-0.063638515770435333	0.14909195899963379	0.064426667988300323	2.0665111541748047	RNN_deep5_bi	300	50	3	0.1	0.0	0.01	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	0	0.01	1.0	0.0	0.0	170.107543945	170.107543945	170.1075439453125	-0.11319874972105026	0.03017873503267765	-0.032981708645820618	2.0532948970794678	RNN_deep5_bi	300	50	3	0.1	0.0	0.01	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	0	0.01	1.0	0.0	0.0	1.27118802071	1.27118802071	1.2711880207061768	-0.1648465096950531	0.11361391097307205	-0.04407915472984314	2.0817489624023438	RNN_deep5_bi	300	50	3	0.1	0.0	0.01	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	0	0.01	1.0	0.0	0.0	1.2991528511	1.2991528511	1.2991528511047363	-0.028185045346617699	0.051182463765144348	0.010943676345050335	2.3569581508636475	RNN_deep5_bi	300	50	3	0.1	0.0	0.01	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	100	0.00020971520000000012	0.0	0.0	0.0	0.00720268161967	1.03663253784	0.38448493415489793	-0.099525709092532375	0.34254431161521509	0.069627064699538596	66.6395378112793	RNN_deep5_bi	300	50	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	0	0.001	1.0	0.0	0.0	0.0422335416079	1.162961483	0.72633184316483412	0.0049130633727393364	0.10856776386499405	0.057721959799528121	31.900350093841553	RNN_deep5_bi	300	30	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	50	0.001	1.0	0.0	0.0	0.212727934122	0.813196778297	0.61302642388777295	-0.14933490631255236	0.44172770977020265	0.20025239599106665	31.076967000961304	RNN_deep5_bi	300	30	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	100	0.0002621440000000001	0.0	0.0	0.0	0.0366288721561	0.62559735775	0.41152501248500561	-0.07170701511204243	0.37741184178739784	0.081253430416638198	31.850080966949463	RNN_deep5_bi	300	30	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	150	8.589934592000007e-05	1.0	0.0	0.0	inf	-inf	nan	nan	nan	nan	31.128396034240723	RNN_deep5_bi	300	30	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	0	2.81e-05	0.0	0.0	0.0	0.0176508165896	1.12358403206	0.50043733946301716	-0.051859154247424821	0.32608247123319994	0.054585148507348177	25.980730056762695	RNN_deep5_bi	300	30	3	0.1	0.0	2.81e-05	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	0	2.81e-05	0.0	0.0	0.0	0.0129156662151	1.11408829689	0.46830387245863675	-0.045892804353074593	0.32103179794820874	0.056801290126697331	27.942564010620117	RNN_deep5_bi	300	30	3	0.1	0.0	2.81e-05	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	0	0.001	1.0	0.0	0.0	0.0289816558361	1.15049755573	0.76230305724523284	0.00026476918084716253	0.056803326410326094	0.028292213939130305	22.887087106704712	RNN_deep5_bi	300	10	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	50	0.00064	1.0	0.0	0.0	0.418979912996	0.784180939198	0.66064302541992881	-0.13337850299748508	0.40513885996558452	0.24343313547697934	26.116656064987183	RNN_deep5_bi	300	10	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	100	0.0005120000000000001	0.0	0.0	0.0	0.0636489242315	0.711639583111	0.46029457504099064	-0.081489473039453683	0.39885043562813238	0.078721862834539608	28.144155979156494	RNN_deep5_bi	300	10	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	150	0.0002621440000000001	0.0	0.0	0.0	0.0316083803773	0.693748235703	0.42623719871044158	-0.054400679232044655	0.38345794870772143	0.08030923834409226	23.802310943603516	RNN_deep5_bi	300	10	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	200	0.0001677721600000001	1.0	0.0	0.0	inf	-inf	nan	nan	nan	nan	23.05287003517151	RNN_deep5_bi	300	10	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02nx	dev-70	dev-30	elite	250	1.8014398509482006e-05	1.0	0.0	0.0	inf	-inf	nan	nan	nan	nan	23.21012282371521	RNN_deep5_bi	300	10	3	0.1	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
