experiment	train	valid	machine	epoch	learn_rate	precision	recall	f1	cost_min	cost_max	cost_avg	y_min_avg	y_max_avg	y_mean_avg	epoch_time	model	x_dim	hidden_dim	y_dim	w_spread	p_drop	init_rate	decay_after	decay_rate	activation	updates	l1_reg	l2_reg
ex02p	dev-70	dev-30	octonion	0	0.001	1.0	0.0	0.0	0.335972368717	1.34250020981	0.90954397862607783	-0.16803926109039988	0.50130049992691383	0.18185836662623014	255.47476196289062	RNN_deep5_bi	300	300	3	0.05	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02p	dev-70	dev-30	octonion	50	0.0005120000000000001	1.0	0.0	0.0	0.267913132906	1.06183815002	0.65216485857963558	-0.089836956696076831	0.33455812497572468	0.1817109492819079	314.5818099975586	RNN_deep5_bi	300	300	3	0.05	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02p	dev-70	dev-30	octonion	100	6.871947673600006e-05	1.0	0.0	0.0	0.0304438043386	1.17176175117	0.66864021532237528	0.027296771650964564	0.23300130082802339	0.20360931664366613	305.15800404548645	RNN_deep5_bi	300	300	3	0.05	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02p	dev-70	dev-30	octonion	150	7.378697629483831e-06	1.0	0.0	0.0	0.0177095960826	1.09525167942	0.65110604177144438	0.01095645505596291	0.20969585691663353	0.19353273990987377	300.9465928077698	RNN_deep5_bi	300	300	3	0.05	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02p	dev-70	dev-30	octonion	200	7.922816251426449e-07	1.0	0.0	0.0	0.0122362682596	1.08812499046	0.65185889237645001	0.0019136712886393069	0.20680736594579435	0.18780514317226005	241.41169905662537	RNN_deep5_bi	300	300	3	0.05	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02p	dev-70	dev-30	octonion	250	8.507059173023481e-08	1.0	0.0	0.0	0.0114914495498	1.08713400364	0.65138115290213716	-0.0012987138512967663	0.20636910318650983	0.18678468873470344	299.08647894859314	RNN_deep5_bi	300	300	3	0.05	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
ex02p	dev-70	dev-30	octonion	300	9.13438523331817e-09	1.0	0.0	0.0	0.0114284912124	1.08701443672	0.65133938086642462	-0.0014714999844066122	0.20629570324989882	0.1867339737417007	302.4261620044708	RNN_deep5_bi	300	300	3	0.05	0.0	0.001	5	0.8	tanh	adam	0.01	0.01
